"Arroz, integral, cozido",124,2.6,1,NA,25.8,2.7,0.3,1,,5
"Arroz, integral, cru",360,7.3,1.9,NA,77.5,4.8,0.9,2,,8
"Arroz, tipo 1, cozido",128,2.5,0.2,NA,28.1,1.6,0.1,1,,4
"Arroz, tipo 1, cru",358,7.2,0.3,NA,78.8,1.6,0.7,1,,4
"Arroz, tipo 2, cozido",130,2.6,0.4,NA,28.2,1.1,0.1,2,,3
"Arroz, tipo 2, cru",358,7.2,0.3,NA,78.9,1.7,0.6,1,,5
"Aveia, flocos, crua",394,13.9,8.5,NA,66.6,9.1,4.4,5,1.4,48
"Biscoito, doce, maisena",443,8.1,12,NA,75.2,2.1,1.8,352,6.2,54
"Biscoito, doce, recheado com chocolate",472,6.4,19.6,Tr,70.5,3,2.3,239,3.5,27
"Biscoito, doce, recheado com morango",471,5.7,19.6,Tr,71,1.5,1.5,230,Tr,36
"Biscoito, doce, wafer, recheado de chocolate",502,5.6,24.7,Tr,67.5,1.8,2.4,137,Tr,23
"Biscoito, doce, wafer, recheado de morango",513,4.5,26.4,1,67.4,0.8,1.1,120,,14
"Biscoito, salgado, cream cracker",432,10.1,14.4,NA,68.7,2.5,2.2,854,,20
"Bolo, mistura para",419,6.2,6.1,Tr,84.7,1.7,1.2,463,Tr,59
"Bolo, pronto, aipim",324,4.4,12.7,73,47.9,0.7,0.5,111,Tr,85
"Bolo, pronto, chocolate",410,6.2,18.5,77,54.7,1.4,2.1,283,Tr,75
"Bolo, pronto, coco",333,5.7,11.3,63,52.3,1.1,0.8,190,Tr,57
"Bolo, pronto, milho",311,4.8,12.4,82,45.1,0.7,0.7,134,Tr,83
"Canjica, branca, crua",358,7.2,1,NA,78.1,5.5,0.3,1,Tr,2
"Canjica, com leite integral",112,2.4,1.2,1,23.6,1.2,0.1,28,Tr,43
"Cereais, milho, flocos, com sal",370,7.3,1.6,NA,80.8,5.3,0.5,272,Tr,2
"Cereais, milho, flocos, sem sal",363,6.9,1.2,NA,80.4,1.8,1.7,31,Tr,2
"Cereais, mingau, milho, infantil",394,6.4,1.1,NA,87.3,3.2,3,399,109.4,219
"Cereais, mistura para vitamina, trigo, cevada e aveia",381,8.9,2.1,NA,81.6,5,12.6,1163,13.1,584
"Cereal matinal, milho",365,7.2,1,NA,83.8,4.1,3.1,655,17.3,143
"Cereal matinal, milho, açúcar",377,4.7,0.7,NA,88.8,2.1,3.9,405,14.6,56
"Creme de arroz, pó",386,7,1.2,NA,83.9,1.1,0.6,1,Tr,7
"Creme de milho, pó",333,4.8,1.6,NA,86.1,3.7,4.3,594,96.3,323
"Curau, milho verde",78,2.4,1.6,5,13.9,0.5,0.4,21,Tr,53
"Curau, milho verde, mistura para",402,2.2,13.4,NA,79.8,2.5,0.9,223,Tr,31
"Farinha, de arroz, enriquecida",363,1.3,0.3,NA,85.5,0.6,31.4,17,173.6,1
"Farinha, de centeio, integral",336,12.5,1.8,NA,73.3,15.5,4.7,41,Tr,34
"Farinha, de milho, amarela",351,7.2,1.5,NA,79.1,5.5,2.3,45,Tr,1
