"Achocolatado",401,4.2,2.2,0,91.2,3.9,5.4,65,0,44,100
"Açúcar, cristal",387,0.3,0,0,99.6,0,0.2,0,0,8,100
"Açúcar, mascavo",369,0.8,0,0,94.5,0,8.3,25,0,127,100
"Açúcar, refinado",387,0.3,0,0,99.5,0,0.1,12,0,4,100
"Chocolate, ao leite",540,7.2,30.3,17,59.6,2.2,1.6,77,0,191,100
"Chocolate, ao leite, com castanha do Pará",559,7.4,34.2,16,55.4,2.5,1.5,64,1.4,171,100
"Chocolate, ao leite, dietético",557,6.9,33.8,13,56.3,2.8,3.3,85,2,188,100
"Chocolate, meio amargo",475,4.9,29.9,2,62.4,4.9,3.6,9,2.1,45,100
"Cocada branca",449,1.1,13.6,0,81.4,3.6,1.2,29,0,7,100
"Doce, de abóbora, cremoso",199,0.9,0.2,0,54.6,2.3,0.9,0,0.1,13,100
"Doce, de leite, cremoso",306,5.5,6,20,59.5,0,0.1,120,0,195,100
"Geléia, mocotó",106,2.1,0.1,0,24.2,0,0.1,43,0,4,100
"Maria mole",301,3.8,0.2,0,73.6,0.7,0.4,15,0,13,100
"Maria mole, coco queimado",307,3.9,0.1,0,75.1,0.6,0.5,14,0,19,100
"Marmelada",257,0.4,0.1,0,70.8,4.1,0.7,11,0,11,100
"Mel, de abelha",309,0,0,0,84,0,0.3,6,0.7,10,100
"Melado",297,0,0,0,76.6,0,5.4,4,0,102,100
"Quindim",411,4.7,24.4,271,46.3,3.2,1.4,27,0,37,100
"Rapadura",352,1,0.1,0,90.8,0,4.4,22,0,30,100
