"Arroz, integral, cozido",124,2.6,1,0,25.8,2.7,0.3,1,0,5,100
"Arroz, tipo 1, cozido",128,2.5,0.2,0,28.1,1.6,0.1,1,0,4,100
"Arroz, tipo 2, cozido",130,2.6,0.4,0,28.2,1.1,0.1,2,0,3,100
"Aveia, flocos, crua",394,13.9,8.5,0,66.6,9.1,4.4,5,1.4,48,100
"Biscoito, doce, maisena",443,8.1,12,0,75.2,2.1,1.8,352,6.2,54,100
"Biscoito, doce, recheado com chocolate",472,6.4,19.6,0,70.5,3,2.3,239,3.5,27,100
"Biscoito, doce, recheado com morango",471,5.7,19.6,0,71,1.5,1.5,230,0,36,100
"Biscoito, doce, wafer, recheado de chocolate",502,5.6,24.7,0,67.5,1.8,2.4,137,0,23,100
"Biscoito, doce, wafer, recheado de morango",513,4.5,26.4,1,67.4,0.8,1.1,120,0,14,100
"Biscoito, salgado, cream cracker",432,10.1,14.4,0,68.7,2.5,2.2,854,0,20,100
"Bolo, mistura para",419,6.2,6.1,0,84.7,1.7,1.2,463,0,59,100
"Bolo, pronto, aipim",324,4.4,12.7,73,47.9,0.7,0.5,111,0,85,100
"Bolo, pronto, chocolate",410,6.2,18.5,77,54.7,1.4,2.1,283,0,75,100
"Bolo, pronto, coco",333,5.7,11.3,63,52.3,1.1,0.8,190,0,57,100
"Bolo, pronto, milho",311,4.8,12.4,82,45.1,0.7,0.7,134,0,83,100
"Canjica, branca, crua",358,7.2,1,0,78.1,5.5,0.3,1,0,2,100
"Canjica, com leite integral",112,2.4,1.2,1,23.6,1.2,0.1,28,0,43,100
"Cereais, milho, flocos, com sal",370,7.3,1.6,0,80.8,5.3,0.5,272,0,2,100
"Cereais, milho, flocos, sem sal",363,6.9,1.2,0,80.4,1.8,1.7,31,0,2,100
"Cereais, mingau, milho, infantil",394,6.4,1.1,0,87.3,3.2,3,399,109.4,219,100
"Cereais, mistura para vitamina, trigo, cevada e aveia",381,8.9,2.1,0,81.6,5,12.6,1163,13.1,584,100
"Cereal matinal, milho",365,7.2,1,0,83.8,4.1,3.1,655,17.3,143,100
"Cereal matinal, milho, açúcar",377,4.7,0.7,0,88.8,2.1,3.9,405,14.6,56,100
"Creme de arroz, pó",386,7,1.2,0,83.9,1.1,0.6,1,0,7,100
"Creme de milho, pó",333,4.8,1.6,0,86.1,3.7,4.3,594,96.3,323,100
"Curau, milho verde",78,2.4,1.6,5,13.9,0.5,0.4,21,0,53,100
"Curau, milho verde, mistura para",402,2.2,13.4,0,79.8,2.5,0.9,223,0,31,100
"Farinha, de arroz, enriquecida",363,1.3,0.3,0,85.5,0.6,31.4,17,173.6,1,100
"Farinha, de centeio, integral",336,12.5,1.8,0,73.3,15.5,4.7,41,0,34,100
"Farinha, de milho, amarela",351,7.2,1.5,0,79.1,5.5,2.3,45,0,1,100
"Farinha, de rosca",371,11.4,1.5,0,75.8,4.8,6.7,333,0,35,100
"Farinha, de trigo",360,9.8,1.4,0,75.1,2.3,1,1,0,18,100
"Farinha, láctea, de cereais",415,11.9,5.8,11,77.8,1.9,8.7,125,24.3,196,100
"Lasanha, massa fresca, cozida",164,5.8,1.2,0,32.5,1.6,1.2,207, ,10,100
"Macarrão, instantâneo",436,8.8,17.2,0,62.4,5.6,0.8,1516,0,18,100
"Macarrão, trigo, cru",371,10,1.3,0,77.9,2.9,0.9,7,0,17,100
"Macarrão, trigo, cru, com ovos",371,10.3,2,18,76.6,2.3,0.9,15,0,19,100
"Milho, amido, cru",361,0.6,0,0,87.1,0.7,0.1,8,0,1,100
"Milho, fubá, cru",353,7.2,1.9,0,78.9,4.7,0.9,0,0,3,100
"Milho, verde, cru",138,6.6,0.6,0,28.6,3.9,0.4,1,0,2,100
"Milho, verde, enlatado, drenado",98,3.2,2.4,0,17.1,4.6,0.6,260,1.7,2,100
"Mingau tradicional, pó",373,0.6,0.4,0,89.3,0.9,42,15,0,522,100
"Pamonha, barra para cozimento, pré-cozida",171,2.6,4.8,0,30.7,2.4,0.4,132,0,4,100
"Pão, aveia, forma",343,12.4,5.7,0,59.6,6,4.7,606,0,109,100
"Pão, de soja",309,11.3,3.6,0,56.5,5.7,3.3,663,0,90,100
"Pão, glúten, forma",253,12,2.7,0,44.1,2.5,5.7,22,0,156,100
"Pão, milho, forma",292,8.3,3.1,6,56.4,4.3,3,507,0,78,100
"Pão, trigo, forma, integral",253,9.4,3.7,0,49.9,6.9,3,506,0,132,100
"Pão, trigo, francês",300,8,3.1,0,58.6,2.3,1,648,0,16,100
"Pão, trigo, sovado",311,8.4,2.8,17,61.5,2.4,2.3,431,0,52,100
"Pastel, de carne, frito",388,10.1,20.1,25,43.8,1,2.5,1040,0,13,100
"Pastel, de queijo, cru",308,9.9,9.6,14,45.9,1.1,1,985,0,155,100
"Pastel, de queijo, frito",422,8.7,22.7,15,48.1,0.9,1.3,821,0,126,100
"Pastel, massa, crua",310,6.9,5.5,0,57.4,1.4,1.1,1344,0,13,100
"Pastel, massa, frita",570,6,40.9,0,49.3,1.3,1.4,1175,0,11,100
