"Abóbora, cabotian, cozida",48,1.4,0.7,0,10.8,2.5,0.3,1,7.5,8,100
"Abóbora, moranga, refogada",29,0.4,0.8,0,6,1.5,0.1,3,6.7,19,100
"Beterraba, cozida",32,1.3,0.1,0,7.2,1.9,0.2,23,1.2,15,100
"Beterraba, crua",49,1.9,0.1,0,11.1,3.4,0.3,10,3.1,18,100
"Cenoura, cozida",30,0.8,0.2,0,6.7,2.6,0.1,8,0,26,100
"Cenoura, crua",34,1.3,0.2,0,7.7,3.2,0.2,3,5.1,23,100
"Couve, manteiga, refogada ",90,1.7,6.6,0,8.7,5.7,0.5,11,76.9,177,100
"Ervilha, em vagem",88,7.5,0.5,0,14.2,9.7,1.4,0,12.4,24,100
"Nabo, cru",18,1.2,0.1,0,4.1,2.6,0.2,2,9.6,42,100
"Quiabo, cru",30,1.9,0.3,0,6.4,4.6,0.4,1,5.6,112,100
"Vagem, crua",25,1.8,0.2,0,5.3,2.4,0.4,0,1.2,41,100
