"Abadejo, filé, congelado, assado",112,23.5,1.2,103,0,0,0.5,334,0,23,100
"Abadejo, filé, congelado,cozido",91,19.3,0.9,87,0,0,0.3,189,0,17,100
"Abadejo, filé, congelado, cru",59,13.1,0.4,31,0,0,0.1,79,0,10,100
"Abadejo, filé, congelado, grelhado",130,27.6,1.3,136,0,0,0.3,305,0,20,100
"Atum, conserva em óleo",166,26.2,6,53,0,0,1.2,362,0,7,100
"Atum, fresco, cru",118,25.7,0.9,48,0,0,1.3,30,0,7,100
"Bacalhau, salgado, cru",136,29,1.3,139,0,0,0.9,13585,0,157,100
"Bacalhau, salgado, refogado",140,24,3.6,112,1.2,0,0.2,1256,0,59,100
"Cação, posta, com farinha de trigo, frita",208,25,10,75,3.1,0,1,160,0,30,100
"Cação, posta, cozida",116,25.6,0.7,83,0,0,0.3,115,0,10,100
"Cação, posta, crua",83,17.9,0.8,36,0,0,0.2,176,0,9,100
"Camarão, Rio Grande, grande, cozido",90,19,1,241,0,0,1.3,367,0,90,100
"Camarão, Rio Grande, grande, cru",47,10,0.5,124,0,0,0.7,201,0,51,100
"Camarão, Sete Barbas, sem cabeça, com casca, frito",231,18.4,15.6,283,2.9,0,2.4,99,0,960,100
"Caranguejo, cozido",83,18.5,0.4,85,0,0,2.9,360,0,357,100
"Corimba, cru",128,17.4,6,40,0,0,0.5,47,0,40,100
"Corimbatá, assado",261,19.9,19.6,80,0,0,1,40,0,22,100
"Corimbatá, cozido",239,20.1,16.9,75,0,0,0.6,37,0,65,100
"Corvina de água doce, crua",101,18.9,2.2,73,0,0,0.3,45,0,39,100
"Corvina do mar, crua",94,18.6,1.6,67,0,0,0.4,68,0,0,100
"Corvina grande, assada",147,26.8,3.6,117,0,0,0.5,85,0,60,100
"Corvina grande, cozida",100,23.4,2.6,123,0,0,0.6,68,0,69,100
"Dourada de água doce, fresca",131,18.8,5.6,52,0,0,0.2,40,0,12,100
"Lambari, congelado, cru",131,16.8,6.5,159,0,0,0.9,48,0,1181,100
"Lambari, congelado, frito",327,28.4,22.8,246,0,0,0.8,65,0,1881,100
"Lambari, fresco, cru",152,15.7,9.4,144,0,0,0.6,41,0,590,100
"Manjuba, com farinha de trigo, frita",344,23.5,22.6,282,10.2,0,3,37,0,763,100
"Manjuba, frita",349,30.1,24.5,270,0,0,0.9,41,0,575,100
"Merluza, filé, assado",122,26.6,0.9,91,0,0,0.4,120,0,36,100
"Merluza, filé, cru",89,16.6,2,57,0,0,0.2,80,0,20,100
"Merluza, filé, frito",192,26.9,8.5,109,0,0,0.4,90,0,36,100
"Pescada, branca, crua",111,16.3,4.6,51,0,0,0.2,76,0,16,100
"Pescada, branca, frita",223,27.4,11.8,165,0,0,0.5,107,0,378,100
"Pescada, filé, com farinha de trigo, frito",283,21.4,19.1,73,5,0,0.9,91,0,26,100
"Pescada, filé, cru",107,16.7,4,65,0,0,0.2,77,0,14,100
"Pescada, filé, frito",154,28.6,3.6,81,0,0,0.3,115,0,10,100
"Pescada, filé, molho escabeche",142,11.8,8,43,5,0,1.5,51,0,20,100
"Pescadinha, crua",76,15.5,1.1,84,0,0,0.5,120,0,332,100
"Pintado, assado",192,36.5,4,126,0,0,0.8,81,0,114,100
"Pintado, grelhado",152,30.8,2.3,99,0,0,0.5,53,0,69,100
"Salmão, filé, com pele, fresco,  grelhado",229,23.9,14,85,0,0,0.5,85,0,29,100
"Salmão, sem pele, fresco, cru",170,19.3,9.7,53,0,0,0.2,64,0,9,100
