"Amêndoa, torrada, salgada",581,18.6,47.3,0,29.5,11.6,3.1,279,0,237,100
"Amendoim, grão, cru",544,27.2,43.9,0,20.3,8,2.5,0,0,0,100
"Amendoim, torrado, salgado",606,22.5,54,0,18.7,7.8,1.3,376,0,39,100
"Castanha-de-caju, torrada, salgada",570,18.5,46.3,0,29.1,3.7,5.2,125,0,33,100
"Castanha-do-Brasil, crua",643,14.5,63.5,0,15.1,7.9,2.3,1,0,146,100
"Coco, cru",406,3.7,42,0,10.4,5.4,1.8,15,2.5,6,100
"Farinha, de mesocarpo de babaçu, crua",329,1.4,0.2,0,79.2,17.9,18.3,12,0,61,100
"Gergelim, semente",584,21.2,50.4,0,21.6,11.9,5.4,3,0,825,100
"Linhaça, semente",495,14.1,32.3,0,43.3,33.5,4.7,9,0,211,100
"Noz, crua",620,14,59.4,0,18.4,7.2,2,5,0,105,100
"Pinhão, cozido",174,3,0.7,0,43.9,15.6,0.8,1,27.7,16,100
"Pupunha, cozida",219,2.5,12.8,0,29.6,4.3,0.5,1,2.2,28,100
